source_id,source_name,url,source_type,years,scope,downloaded,local_path,field_coverage,pii_coverage,status,notes
sdgedfegw_du_lieu_diem_thi,sdgedfegw/du-lieu-diem-thi,https://github.com/sdgedfegw/du-lieu-diem-thi,git_lfs_dataset,2013-2014;2016-2026,"Legacy ĐH-CĐ; THPT quốc gia; tốt nghiệp THPT",true,sources/du-lieu-diem-thi,"Scores, SBD, province/exam codes, subject/combo scores. 2013-2014 also has name and date-of-birth.","2013-2014 has HovaTen and NgaySinh; 2016-2026 does not.",canonical,"Main local source. Aggregate 2016-2025 file is excluded from canonical processing to avoid duplicate counts."
anhdung98_2026,anhdung98/diem_thi_2026,https://github.com/anhdung98/diem_thi_2026,github_release_csv,2026,tốt nghiệp THPT,true,sources/crosscheck/anhdung98/diem_thi_2026/diem_thpt_2026.csv,"Scores, SBD, language code using dm1..dm13 schema.","No name/date-of-birth observed.",crosschecked,"Mapped to canonical 2026 schema. Row count and all compared score fields match exactly."
baochinhphu_2025_ct2018,Báo Chính phủ/Cổng TTĐT Chính phủ 2025 CT2018,https://baochinhphu.vn/8h-sang-16-7-tra-cuu-diem-thi-tot-nghiep-thpt-nam-2025-tren-cong-thong-tin-dien-tu-chinh-phu-102250715114537341.htm,official_xlsx,2025,tốt nghiệp THPT CT2018,true,sources/crosscheck/baochinhphu/2025/20250715-ketquathi-ct2018a.xlsx,"Scores, SBD, language code across multiple sheets.","No name/date-of-birth observed.",row_count_checked,"Official article states 2025 lookup and links CT2018/CT2006 files. CT2018 workbook has 1,131,136 data rows across Sheet1 and Sheet2; Sheet3 is empty."
baochinhphu_2025_ct2006,Báo Chính phủ/Cổng TTĐT Chính phủ 2025 CT2006,https://baochinhphu.vn/8h-sang-16-7-tra-cuu-diem-thi-tot-nghiep-thpt-nam-2025-tren-cong-thong-tin-dien-tu-chinh-phu-102250715114537341.htm,official_xlsx,2025,tốt nghiệp THPT CT2006,true,sources/crosscheck/baochinhphu/2025/20250715-ketquathi-ct2006.xlsx,"Scores, SBD, language code.","No name/date-of-birth observed.",row_count_checked,"Official CT2006 workbook has 22,090 data rows, matching the canonical source file row count."
anhdung98_2025,anhdung98/diem_thi_2025,https://github.com/anhdung98/diem_thi_2025,github_release_xlsx,2025,tốt nghiệp THPT,false,,"Scores, SBD, language code. Mirrors official Government portal files.","No name/date-of-birth observed.",not_downloaded_duplicate,"Release page links CT2018 and CT2006 xlsx files and cites the Government portal."
anhdung98_2024,anhdung98/diem_thi_2024,https://github.com/anhdung98/diem_thi_2024,github_release_csv,2024,tốt nghiệp THPT,false,,"Scores, SBD, province code.","No name/date-of-birth observed.",candidate_crosscheck,"Release page states data updated 2024-07-17, no recheck after phúc khảo, and provides a CSV download."
anhdung98_2023,anhdung98/diem_thi_2023,https://github.com/anhdung98/diem_thi_2023,github_release_csv,2023,tốt nghiệp THPT,false,,"Scores, SBD, province code.","No name/date-of-birth observed.",candidate_crosscheck,"Release page provides CSV and province-code notes. README date appears to contain a typo: 18/07/2013 for 2023 data."
anhdung98_2022,anhdung98/diem_thi_2022,https://github.com/anhdung98/diem_thi_2022,crawler_repo,2022,tốt nghiệp THPT,false,,"Scores, SBD, province code.","No name/date-of-birth observed.",candidate_crosscheck,"README says source was crawled from tienphong.vn and notes source code may no longer work."
moet_2026_lookup,Bộ GDĐT tra cứu điểm 2026,https://tracuudiem.thitotnghiepthpt.edu.vn/,official_lookup,2026,tốt nghiệp THPT,false,,"Lookup by SBD and captcha/verification code; province lookup links are listed.","No bulk name/date-of-birth observed from landing page.",lookup_only,"Good official source for link inventory and spot checks, not a clean bulk-download source."
vnexpress_2026,VnExpress điểm thi 2026,https://diemthi.vnexpress.net/,media_lookup_and_summary,2026,tốt nghiệp THPT,false,,"Lookup, ranking, score distribution and province top summaries.","Public top tables show SBD/province/score, not name/date-of-birth.",candidate_spotcheck,"Useful for independent spot checks/rankings; not a canonical detailed data source."
nambz_2026_tool,NamBZ/diemthi-thpt-2026,https://github.com/NamBZ/diemthi-thpt-2026,crawler_tool,2026,tốt nghiệp THPT,false,,"Tool and MediaFire CSV links for Tuổi Trẻ/Thanh Niên crawls.","No name/date-of-birth observed in README.",not_run,"README mentions proxy/rate-limit bypass; not used as a default collection method."
tcvn3_unicode_reference,TCVN3 to Unicode mapping reference,https://gist.github.com/nthung-2k5/ef8eccb0cb403e177f35fa9d2228fac7,transform_reference,2013-2014,legacy name cleaning,false,,"TCVN3 character mapping used to normalize legacy names in feature output.","Not a data source.",reference_only,"Used only as a reference for the TCVN3-to-Unicode transform in scripts/build_legacy_features.py."
